id_compra,data_hora,produto,preco_unitario,quantidade,cliente,cidade,forma_pagamento,frete,avaliacao,valor_total
37217319,2026-05-25 21:33:48.263831,Fone de Ouvido Bluetooth,98.77,3,Edwin Salas,Porto Alegre,Boleto,11.28,1.0,307.59
69448075,2026-06-04 21:33:48.264136,SSD 500GB,1789.75,1,Stephanie Olson,Manaus,Débito,6.43,1.0,1796.18
73250160,2026-02-06 21:33:48.264310,Smartwatch,1035.44,1,Roberto Hull,Fortaleza,Boleto,37.22,,1072.66
93849667,2026-05-01 21:33:48.264444,Capinha para Celular,479.86,5,Daniel Hill,Curitiba,Cartão de Crédito,39.15,2.0,2438.4500000000003
68479235,2026-06-09 21:33:48.264575,Capinha para Celular,713.49,2,Jamie Boyle,Porto Alegre,Pix,9.6,4.0,1436.58
24098604,2026-01-06 21:33:48.264708,Carregador Portátil,1702.61,5,Danielle Coleman,Curitiba,Cartão de Crédito,37.84,5.0,8550.89
91132085,2026-01-13 21:33:48.264837,Roteador Wi-Fi,788.14,5,Laura Simmons,Curitiba,Pix,30.98,,3971.68
40423475,2025-12-30 21:33:48.264967,Smartphone X,1339.46,3,Scott Wilson,Rio de Janeiro,Boleto,43.99,4.0,4062.37
23895284,2026-02-22 21:33:48.265093,Mouse Sem Fio,1289.58,3,Dr. Jenna Olson PhD,Belo Horizonte,Pix,20.99,,3889.7299999999996
58358622,2026-02-19 21:33:48.265246,SSD 500GB,1876.48,1,Shawn Baker,Manaus,Boleto,29.04,2.0,1905.52
80975365,2026-01-23 21:33:48.265377,Mouse Sem Fio,789.94,5,Juan Krause,Porto Alegre,Pix,42.93,1.0,3992.63
16103429,2026-02-09 21:33:48.265505,Caixa de Som,112.6,3,Scott Morales,Salvador,Pix,7.98,5.0,345.78
9321914,2026-03-03 21:33:48.265633,Smartwatch,1328.11,4,Janet Vazquez,Recife,Boleto,16.92,2.0,5329.36
70496714,2026-05-05 21:33:48.265762,Teclado Mecânico,562.35,5,Jason Morales,Salvador,Débito,21.29,2.0,2833.04
76760670,2026-04-22 21:33:48.265890,Mouse Sem Fio,227.27,1,Elizabeth Preston,Rio de Janeiro,Boleto,33.24,,260.51
64440766,2026-03-31 21:33:48.266019,"Monitor 24""",173.88,4,Timothy Singh,Manaus,Débito,28.81,5.0,724.3299999999999
25288246,2025-12-15 21:33:48.266155,HD Externo 1TB,1455.41,5,Antonio Stevenson,Curitiba,Pix,10.02,4.0,7287.070000000001
11352366,2026-01-22 21:33:48.266296,Mouse Sem Fio,56.33,3,Derrick Burton,Fortaleza,Boleto,27.85,1.0,196.84
60299139,2026-05-22 21:33:48.266425,Tablet Mini,1691.26,5,Ricardo Parsons,Manaus,Boleto,11.88,2.0,8468.179999999998
91800558,2026-04-30 21:33:48.266556,Câmera Digital,1848.75,1,Ian Whitney,Manaus,Pix,26.99,1.0,1875.74
58119643,2026-03-15 21:33:48.266688,Roteador Wi-Fi,1971.38,3,Andre Haynes,Porto Alegre,Cartão de Crédito,15.84,5.0,5929.9800000000005
55597229,2026-01-02 21:33:48.266814,Fone de Ouvido Bluetooth,1477.22,1,Jason Gray,Fortaleza,Boleto,10.78,4.0,1488.0
69008771,2026-05-02 21:33:48.266940,Notebook Pro,566.86,5,Tara Sutton,Salvador,Boleto,46.8,,2881.1000000000004
29176090,2026-06-07 21:33:48.267069,Smartwatch,1440.25,4,Lori Smith,Brasília,Débito,45.48,4.0,5806.48
55234046,2026-01-12 21:33:48.267200,Smartwatch,488.16,3,Diana Grant,São Paulo,Boleto,31.48,1.0,1495.96
29333311,2025-12-31 21:33:48.267476,SSD 500GB,1280.65,2,Beth Boone,Rio de Janeiro,Cartão de Crédito,43.68,1.0,2604.98
41822984,2026-04-23 21:33:48.267695,Smartwatch,593.03,4,Melissa Watson,Porto Alegre,Boleto,37.55,5.0,2409.67
30373996,2026-05-09 21:33:48.267894,Mouse Sem Fio,523.84,4,John Mann,Salvador,Boleto,9.24,,2104.6
77312491,2026-04-02 21:33:48.268084,Carregador Portátil,875.98,4,Dr. Virginia Roberts MD,São Paulo,Cartão de Crédito,7.73,,3511.65
32703639,2026-03-09 21:33:48.268359,Câmera Digital,1730.26,2,Debra Jarvis,Porto Alegre,Boleto,29.13,2.0,3489.65
23695842,2026-03-31 21:33:48.268518,Notebook Pro,593.16,2,Sharon Henry,Rio de Janeiro,Débito,41.36,5.0,1227.6799999999998
97992882,2026-01-07 21:33:48.268647,Smartphone X,1321.68,5,Michael Kim,São Paulo,Cartão de Crédito,46.69,2.0,6655.09
31730099,2026-01-24 21:33:48.268774,Capinha para Celular,997.0,2,Cheryl Barnett,Salvador,Cartão de Crédito,12.41,1.0,2006.41
62989412,2026-03-22 21:33:48.268902,Tablet Mini,1856.71,4,John Williamson,Curitiba,Débito,36.35,,7463.1900000000005
21673495,2026-05-04 21:33:48.269039,HD Externo 1TB,1450.9,2,Stephanie Welch,Porto Alegre,Pix,14.8,1.0,2916.6000000000004
32949181,2026-05-10 21:33:48.269167,SSD 500GB,1107.28,3,Christopher Wilson,São Paulo,Cartão de Crédito,31.29,5.0,3353.13
12183967,2026-04-27 21:33:48.269293,Notebook Pro,160.92,5,Kayla Aguilar,Rio de Janeiro,Boleto,8.08,1.0,812.68
9686045,2026-06-03 21:33:48.269420,Caixa de Som,508.65,1,Jennifer Clements,Manaus,Boleto,31.05,1.0,539.6999999999999
64672405,2026-05-20 21:33:48.269551,Fone de Ouvido Bluetooth,867.49,5,Jill Lewis,Manaus,Pix,47.06,2.0,4384.51
96635126,2026-06-02 21:33:48.269680,SSD 500GB,662.66,3,Candace Harrison,Salvador,Boleto,35.23,3.0,2023.21
15641985,2026-04-09 21:33:48.269815,Carregador Portátil,1861.59,1,Scott Gordon,São Paulo,Débito,32.95,5.0,1894.54
19775957,2026-01-07 21:33:48.269940,Fone de Ouvido Bluetooth,1098.39,5,John Fitzgerald,Curitiba,Boleto,47.0,1.0,5538.950000000001
61739552,2026-02-13 21:33:48.270065,Carregador Portátil,605.73,4,Heather Young,Fortaleza,Pix,32.53,,2455.4500000000003
62423989,2026-04-27 21:33:48.270192,Smartphone X,1352.33,5,Julie Zamora,Curitiba,Cartão de Crédito,47.25,2.0,6808.9
75912443,2026-02-18 21:33:48.270319,Fone de Ouvido Bluetooth,1784.94,5,Mrs. Jessica Washington PhD,Belo Horizonte,Pix,17.68,2.0,8942.380000000001
19447549,2026-03-10 21:33:48.270459,Smartwatch,1390.62,3,Natasha Hernandez,Fortaleza,Débito,16.3,1.0,4188.16
10333115,2026-01-05 21:33:48.270587,HD Externo 1TB,875.97,3,Lisa Powell,São Paulo,Cartão de Crédito,20.01,2.0,2647.92
74468175,2026-05-25 21:33:48.270714,Tablet Mini,365.08,4,Tony Jacobson,Fortaleza,Débito,30.24,1.0,1490.56
36171976,2026-01-01 21:33:48.270838,Roteador Wi-Fi,1397.49,2,Lauren Lucero,Fortaleza,Cartão de Crédito,42.56,5.0,2837.54
73539916,2026-05-03 21:33:48.270972,Notebook Pro,888.08,1,Anna Simmons,Curitiba,Pix,45.45,1.0,933.5300000000001
20847904,2026-03-14 21:33:48.271101,Smartwatch,1380.03,1,Ronald Henry,Brasília,Débito,48.82,,1428.85
86794738,2026-01-21 21:33:48.271230,Roteador Wi-Fi,1863.27,2,Andrew Obrien,Belo Horizonte,Débito,6.12,,3732.66
76676274,2026-03-08 21:33:48.271355,Câmera Digital,1865.09,2,Anthony Grant,Curitiba,Boleto,40.43,1.0,3770.6099999999997
62298917,2026-03-20 21:33:48.271484,Caixa de Som,125.51,4,Jeremy Garcia,Porto Alegre,Boleto,41.75,4.0,543.79
55514344,2026-03-12 21:33:48.271609,Tablet Mini,1650.05,2,Paul Bell,Porto Alegre,Cartão de Crédito,34.7,4.0,3334.7999999999997
97135909,2026-03-07 21:33:48.271733,Tablet Mini,1735.49,3,Melissa Johnson,Brasília,Débito,35.58,5.0,5242.05
26710877,2026-03-07 21:33:48.271865,Smartphone X,274.92,3,Steve Spears,Belo Horizonte,Pix,6.72,5.0,831.48
14825117,2026-04-03 21:33:48.271993,Carregador Portátil,1470.66,3,Joshua Dunn,Salvador,Cartão de Crédito,22.33,5.0,4434.31
